chrom1	start1	end1	chrom2	start2	end2	loop_id	source_loop_id	control_count	experimental_count
chr2L	12678243	12680243	chr2L	15788243	15790243	L1_random_33	L1	0	0
chr2L	10600292	10602292	chr2L	13710292	13712292	L1_random_34	L1	1	0
chr2L	15946525	15948525	chr2L	19056525	19058525	L1_random_35	L1	0	0
chr2L	2713351	2715351	chr2L	5823351	5825351	L1_random_36	L1	0	0
chr2L	18392486	18394486	chr2L	21502486	21504486	L1_random_37	L1	0	0
chr2L	4469342	4471342	chr2L	7579342	7581342	L1_random_38	L1	0	0
chr2L	10266198	10268198	chr2L	13376198	13378198	L1_random_39	L1	1	2
chr2L	3515833	3517833	chr2L	6625833	6627833	L1_random_40	L1	1	1
chr2L	3702258	3704258	chr2L	6812258	6814258	L1_random_41	L1	0	1
chr2L	1363300	1365300	chr2L	4473300	4475300	L1_random_42	L1	0	1
chr2L	17524003	17526003	chr2L	20634003	20636003	L1_random_43	L1	0	2
chr2L	6623707	6625707	chr2L	9733707	9735707	L1_random_44	L1	0	3
chr2L	19943621	19945621	chr2L	23053621	23055621	L1_random_45	L1	0	0
chr2L	3159414	3161414	chr2L	6269414	6271414	L1_random_46	L1	0	0
chr2L	16782341	16784341	chr2L	19892341	19894341	L1_random_47	L1	3	2
chr2L	12362770	12364770	chr2L	15472770	15474770	L1_random_48	L1	0	0
chr2L	4069701	4071701	chr2L	7179701	7181701	L1_random_49	L1	0	0
chr2L	9068764	9070764	chr2L	12178764	12180764	L1_random_50	L1	1	0
chr2L	17588798	17590798	chr2L	20698798	20700798	L1_random_51	L1	0	1
chr2L	6887490	6889490	chr2L	9997490	9999490	L1_random_52	L1	0	1
chr2L	12253473	12255473	chr2L	15363473	15365473	L1_random_53	L1	0	0
chr2L	7433909	7435909	chr2L	10543909	10545909	L1_random_54	L1	0	0
chr2L	16430240	16432240	chr2L	19540240	19542240	L1_random_55	L1	0	0
chr2L	15556347	15558347	chr2L	18666347	18668347	L1_random_56	L1	1	1
chr2L	8405195	8407195	chr2L	11515195	11517195	L1_random_57	L1	0	0
chr2L	19017545	19019545	chr2L	22127545	22129545	L1_random_58	L1	0	0
chr2L	9348814	9350814	chr2L	12458814	12460814	L1_random_59	L1	0	0
chr2L	16984774	16986774	chr2L	20094774	20096774	L1_random_60	L1	0	0
chr2L	13446685	13448685	chr2L	16556685	16558685	L1_random_61	L1	2	0
chr2L	11155960	11157960	chr2L	14265960	14267960	L1_random_62	L1	0	1
chr2L	13894785	13896785	chr2L	17004785	17006785	L1_random_63	L1	0	0
chr2L	5333809	5335809	chr2L	8443809	8445809	L1_random_64	L1	1	1
chr2L	10824982	10826982	chr2L	13934982	13936982	L1_random_65	L1	0	1
chr2L	19507548	19509548	chr2L	22617548	22619548	L1_random_66	L1	0	0
chr2L	19476477	19478477	chr2L	22586477	22588477	L1_random_67	L1	0	0
chr2L	11888641	11890641	chr2L	14998641	15000641	L1_random_68	L1	0	0
chr2L	11118089	11120089	chr2L	14228089	14230089	L1_random_69	L1	0	1
chr2L	5477986	5479986	chr2L	8587986	8589986	L1_random_70	L1	0	1
chr2L	7067471	7069471	chr2L	10177471	10179471	L1_random_71	L1	0	0
chr2L	5052571	5054571	chr2L	8162571	8164571	L1_random_72	L1	0	0
chr2L	12624723	12626723	chr2L	15734723	15736723	L1_random_73	L1	0	2
chr2L	7560426	7562426	chr2L	10670426	10672426	L1_random_74	L1	0	0
chr2L	6757346	6759346	chr2L	9867346	9869346	L1_random_75	L1	0	0
chr2L	17535293	17537293	chr2L	20645293	20647293	L1_random_76	L1	0	0
chr2L	10063032	10065032	chr2L	13173032	13175032	L1_random_77	L1	0	2
chr2L	1099645	1101645	chr2L	4209645	4211645	L1_random_78	L1	0	0
chr2L	9228316	9230316	chr2L	12338316	12340316	L1_random_79	L1	0	0
chr2L	9374307	9376307	chr2L	12484307	12486307	L1_random_80	L1	0	1
chr2L	5804330	5806330	chr2L	8914330	8916330	L1_random_81	L1	2	0
chr2L	4323649	4325649	chr2L	7433649	7435649	L1_random_82	L1	0	0
chr2L	6757501	6759501	chr2L	9867501	9869501	L1_random_83	L1	0	0
chr2L	6843576	6845576	chr2L	9953576	9955576	L1_random_84	L1	0	1
chr2L	9608169	9610169	chr2L	12718169	12720169	L1_random_85	L1	0	1
chr2L	6815283	6817283	chr2L	9925283	9927283	L1_random_86	L1	1	1
chr2L	17718831	17720831	chr2L	20828831	20830831	L1_random_87	L1	2	0
chr2L	6192736	6194736	chr2L	9302736	9304736	L1_random_88	L1	2	1
chr2L	5502414	5504414	chr2L	8612414	8614414	L1_random_89	L1	0	0
chr2L	7743848	7745848	chr2L	10853848	10855848	L1_random_90	L1	1	1
chr2L	256377	258377	chr2L	3366377	3368377	L1_random_91	L1	0	0
chr2L	876705	878705	chr2L	3986705	3988705	L1_random_92	L1	0	0
chr2L	1984119	1986119	chr2L	5094119	5096119	L1_random_93	L1	1	0
chr2L	15152753	15154753	chr2L	18262753	18264753	L1_random_94	L1	0	0
chr2L	336605	338605	chr2L	3446605	3448605	L1_random_95	L1	0	0
chr2L	2669956	2671956	chr2L	5779956	5781956	L1_random_96	L1	0	1
chr2L	19577460	19579460	chr2L	22687460	22689460	L1_random_97	L1	0	0
chr2L	19393069	19395069	chr2L	22503069	22505069	L1_random_98	L1	0	0
chr2L	20095065	20097065	chr2L	23205065	23207065	L1_random_99	L1	0	0
chr2L	11420524	11422524	chr2L	14530524	14532524	L1_random_100	L1	2	0
chr2L	4375817	4377817	chr2L	7485817	7487817	L1_random_101	L1	0	0
chr2L	693480	695480	chr2L	3803480	3805480	L1_random_102	L1	0	0
chr2L	8669083	8671083	chr2L	11779083	11781083	L1_random_103	L1	0	0
chr2L	358920	360920	chr2L	3468920	3470920	L1_random_104	L1	2	1
chr2L	3379658	3381658	chr2L	6489658	6491658	L1_random_105	L1	1	1
chr2L	3496718	3498718	chr2L	6606718	6608718	L1_random_106	L1	0	0
chr2L	4408396	4410396	chr2L	7518396	7520396	L1_random_107	L1	0	0
chr2L	17789036	17791036	chr2L	20899036	20901036	L1_random_108	L1	0	0
chr2L	2821354	2823354	chr2L	5931354	5933354	L1_random_109	L1	0	0
chr2L	6764101	6766101	chr2L	9874101	9876101	L1_random_110	L1	0	0
chr2L	16861714	16863714	chr2L	19971714	19973714	L1_random_111	L1	0	0
chr2L	16001288	16003288	chr2L	19111288	19113288	L1_random_112	L1	1	0
chr2L	12211509	12213509	chr2L	15321509	15323509	L1_random_113	L1	1	0
chr2L	16770216	16772216	chr2L	19880216	19882216	L1_random_114	L1	1	0
chr2L	5263071	5265071	chr2L	8373071	8375071	L1_random_115	L1	3	0
chr2L	19838949	19840949	chr2L	22948949	22950949	L1_random_116	L1	0	0
chr2L	18453134	18455134	chr2L	21563134	21565134	L1_random_117	L1	0	0
chr2L	5534844	5536844	chr2L	8644844	8646844	L1_random_118	L1	0	0
chr2L	269698	271698	chr2L	3379698	3381698	L1_random_119	L1	0	0
chr2L	18582139	18584139	chr2L	21692139	21694139	L1_random_120	L1	0	0
chr2L	3360605	3362605	chr2L	6470605	6472605	L1_random_121	L1	2	1
chr2L	10107784	10109784	chr2L	13217784	13219784	L1_random_122	L1	0	0
chr2L	9111628	9113628	chr2L	12221628	12223628	L1_random_123	L1	0	0
chr2L	7326600	7328600	chr2L	10436600	10438600	L1_random_124	L1	0	2
chr2L	2338504	2340504	chr2L	5448504	5450504	L1_random_125	L1	1	0
chr2L	3148627	3150627	chr2L	6258627	6260627	L1_random_126	L1	0	0
chr2L	20328204	20330204	chr2L	23438204	23440204	L1_random_127	L1	0	1
chr2L	6893606	6895606	chr2L	10003606	10005606	L1_random_128	L1	0	1
chr2L	10390994	10392994	chr2L	13500994	13502994	L1_random_129	L1	0	0
chr2L	19029520	19031520	chr2L	22139520	22141520	L1_random_130	L1	0	0
chr2L	13976792	13978792	chr2L	17086792	17088792	L1_random_131	L1	2	0
chr2L	15822788	15824788	chr2L	18932788	18934788	L1_random_132	L1	0	0
chr2L	4571775	4573775	chr2L	7681775	7683775	L1_random_133	L1	0	2
chr2L	14944259	14946259	chr2L	18054259	18056259	L1_random_134	L1	0	0
chr2L	5019171	5021171	chr2L	8129171	8131171	L1_random_135	L1	0	0
chr2L	4964957	4966957	chr2L	8074957	8076957	L1_random_136	L1	2	1
chr2L	14953350	14955350	chr2L	18063350	18065350	L1_random_137	L1	0	1
chr2L	1486960	1488960	chr2L	4596960	4598960	L1_random_138	L1	0	0
chr2L	17031903	17033903	chr2L	20141903	20143903	L1_random_139	L1	0	0
chr2L	17123622	17125622	chr2L	20233622	20235622	L1_random_140	L1	0	0
chr2L	8074844	8076844	chr2L	11184844	11186844	L1_random_141	L1	0	0
chr2L	1168311	1170311	chr2L	4278311	4280311	L1_random_142	L1	0	0
chr2L	6706403	6708403	chr2L	9816403	9818403	L1_random_143	L1	0	0
chr2L	3168616	3170616	chr2L	6278616	6280616	L1_random_144	L1	0	0
chr2L	18337454	18339454	chr2L	21447454	21449454	L1_random_145	L1	0	0
chr2L	5327874	5329874	chr2L	8437874	8439874	L1_random_146	L1	1	1
chr2L	18668703	18670703	chr2L	21778703	21780703	L1_random_147	L1	0	0
chr2L	4448555	4450555	chr2L	7558555	7560555	L1_random_148	L1	1	0
chr2L	6634721	6636721	chr2L	9744721	9746721	L1_random_149	L1	0	0
chr2L	14754302	14756302	chr2L	17864302	17866302	L1_random_150	L1	1	2
chr2L	17532766	17534766	chr2L	20642766	20644766	L1_random_151	L1	0	0
chr2L	6702652	6704652	chr2L	9812652	9814652	L1_random_152	L1	2	0
chr2L	1552695	1554695	chr2L	4662695	4664695	L1_random_153	L1	0	0
chr2L	6701244	6703244	chr2L	9811244	9813244	L1_random_154	L1	1	1
chr2L	6228911	6230911	chr2L	9338911	9340911	L1_random_155	L1	2	0
chr2L	5275090	5277090	chr2L	8385090	8387090	L1_random_156	L1	0	0
chr2L	18609013	18611013	chr2L	21719013	21721013	L1_random_157	L1	0	0
chr2L	13839878	13841878	chr2L	16949878	16951878	L1_random_158	L1	1	0
chr2L	10743849	10745849	chr2L	13853849	13855849	L1_random_159	L1	0	0
chr2L	6656407	6658407	chr2L	9766407	9768407	L1_random_160	L1	0	1
chr2L	13786505	13788505	chr2L	16896505	16898505	L1_random_161	L1	1	1
chr2L	3321586	3323586	chr2L	6431586	6433586	L1_random_162	L1	0	0
chr2L	10900769	10902769	chr2L	14010769	14012769	L1_random_163	L1	0	0
chr2L	18601631	18603631	chr2L	21711631	21713631	L1_random_164	L1	1	0
chr2L	8972903	8974903	chr2L	12082903	12084903	L1_random_165	L1	0	0
chr2L	1562674	1564674	chr2L	4672674	4674674	L1_random_166	L1	0	0
chr2L	9119030	9121030	chr2L	12229030	12231030	L1_random_167	L1	0	0
chr2L	14690506	14692506	chr2L	17800506	17802506	L1_random_168	L1	0	0
chr2L	15865393	15867393	chr2L	18975393	18977393	L1_random_169	L1	1	0
chr2L	18223643	18225643	chr2L	21333643	21335643	L1_random_170	L1	0	0
chr2L	16617844	16619844	chr2L	19727844	19729844	L1_random_171	L1	1	0
chr2L	13788733	13790733	chr2L	16898733	16900733	L1_random_172	L1	1	0
chr2L	11035022	11037022	chr2L	14145022	14147022	L1_random_173	L1	0	0
chr2L	13840705	13842705	chr2L	16950705	16952705	L1_random_174	L1	1	0
chr2L	10475661	10477661	chr2L	13585661	13587661	L1_random_175	L1	0	0
chr2L	11709234	11711234	chr2L	14819234	14821234	L1_random_176	L1	0	0
chr2L	20035881	20037881	chr2L	23145881	23147881	L1_random_177	L1	0	0
chr2L	3184981	3186981	chr2L	6294981	6296981	L1_random_178	L1	1	0
chr2L	6378684	6380684	chr2L	9488684	9490684	L1_random_179	L1	2	7
chr2L	14615751	14617751	chr2L	17725751	17727751	L1_random_180	L1	0	0
chr2L	7972943	7974943	chr2L	11082943	11084943	L1_random_181	L1	0	0
chr2L	17597165	17599165	chr2L	20707165	20709165	L1_random_182	L1	0	0
chr2L	17278635	17280635	chr2L	20388635	20390635	L1_random_183	L1	0	1
chr2L	13218873	13220873	chr2L	16328873	16330873	L1_random_184	L1	3	6
chr2L	1295481	1297481	chr2L	4405481	4407481	L1_random_185	L1	0	0
chr2L	7091092	7093092	chr2L	10201092	10203092	L1_random_186	L1	0	0
chr2L	5849498	5851498	chr2L	8959498	8961498	L1_random_187	L1	0	0
chr2L	2386020	2388020	chr2L	5496020	5498020	L1_random_188	L1	3	0
chr2L	73774	75774	chr2L	3183774	3185774	L1_random_189	L1	0	0
chr2L	5730124	5732124	chr2L	8840124	8842124	L1_random_190	L1	0	0
chr2L	18328350	18330350	chr2L	21438350	21440350	L1_random_191	L1	0	0
chr2L	12941738	12943738	chr2L	16051738	16053738	L1_random_192	L1	0	0
chr2L	4779944	4781944	chr2L	7889944	7891944	L1_random_193	L1	1	0
chr2L	9262822	9264822	chr2L	12372822	12374822	L1_random_194	L1	0	0
chr2L	12513039	12515039	chr2L	15623039	15625039	L1_random_195	L1	0	0
chr2L	5847268	5849268	chr2L	8957268	8959268	L1_random_196	L1	0	0
chr2L	6087471	6089471	chr2L	9197471	9199471	L1_random_197	L1	0	0
chr2L	8761121	8763121	chr2L	11871121	11873121	L1_random_198	L1	0	0
chr2L	20072930	20074930	chr2L	23182930	23184930	L1_random_199	L1	0	0
chr2L	14923989	14925989	chr2L	18033989	18035989	L1_random_200	L1	2	1
chr2L	14795910	14797910	chr2L	17905910	17907910	L1_random_201	L1	1	0
chr2L	13798337	13800337	chr2L	16908337	16910337	L1_random_202	L1	4	4
chr2L	8513637	8515637	chr2L	11623637	11625637	L1_random_203	L1	0	0
chr2L	1728535	1730535	chr2L	4838535	4840535	L1_random_204	L1	1	0
chr2L	20306077	20308077	chr2L	23416077	23418077	L1_random_205	L1	0	0
chr2L	20028280	20030280	chr2L	23138280	23140280	L1_random_206	L1	0	0
chr2L	4459636	4461636	chr2L	7569636	7571636	L1_random_207	L1	0	0
chr2L	5649160	5651160	chr2L	8759160	8761160	L1_random_208	L1	0	0
chr2L	20342534	20344534	chr2L	23452534	23454534	L1_random_209	L1	1	0
chr2L	9719074	9721074	chr2L	12829074	12831074	L1_random_210	L1	0	0
chr2L	857523	859523	chr2L	3967523	3969523	L1_random_211	L1	1	0
chr2L	6342875	6344875	chr2L	9452875	9454875	L1_random_212	L1	1	15
chr2L	4765348	4767348	chr2L	7875348	7877348	L1_random_213	L1	1	0
chr2L	14291357	14293357	chr2L	17401357	17403357	L1_random_214	L1	0	0
chr2L	17415812	17417812	chr2L	20525812	20527812	L1_random_215	L1	1	1
chr2L	16179209	16181209	chr2L	19289209	19291209	L1_random_216	L1	0	0
chr2L	11523006	11525006	chr2L	14633006	14635006	L1_random_217	L1	0	0
chr2L	13070109	13072109	chr2L	16180109	16182109	L1_random_218	L1	0	1
chr2L	5152628	5154628	chr2L	8262628	8264628	L1_random_219	L1	2	0
chr2L	16883656	16885656	chr2L	19993656	19995656	L1_random_220	L1	0	1
chr2L	9649757	9651757	chr2L	12759757	12761757	L1_random_221	L1	0	1
chr2L	6702040	6704040	chr2L	9812040	9814040	L1_random_222	L1	2	0
chr2L	5766187	5768187	chr2L	8876187	8878187	L1_random_223	L1	0	0
chr2L	7091762	7093762	chr2L	10201762	10203762	L1_random_224	L1	0	0
chr2L	8433215	8435215	chr2L	11543215	11545215	L1_random_225	L1	0	0
chr2L	5268471	5270471	chr2L	8378471	8380471	L1_random_226	L1	0	0
chr2L	20261382	20263382	chr2L	23371382	23373382	L1_random_227	L1	0	1
chr2L	16672250	16674250	chr2L	19782250	19784250	L1_random_228	L1	1	0
chr2L	19655405	19657405	chr2L	22765405	22767405	L1_random_229	L1	0	0
chr2L	6943957	6945957	chr2L	10053957	10055957	L1_random_230	L1	1	0
chr2L	4089484	4091484	chr2L	7199484	7201484	L1_random_231	L1	0	0
chr2L	5455091	5457091	chr2L	8565091	8567091	L1_random_232	L1	0	0
chr2L	10219612	10221612	chr2L	13329612	13331612	L1_random_233	L1	1	0
chr2L	1154332	1156332	chr2L	4264332	4266332	L1_random_234	L1	0	0
chr2L	1343799	1345799	chr2L	4453799	4455799	L1_random_235	L1	0	0
chr2L	18619459	18621459	chr2L	21729459	21731459	L1_random_236	L1	1	0
chr2L	20043915	20045915	chr2L	23153915	23155915	L1_random_237	L1	0	0
chr2L	6893410	6895410	chr2L	10003410	10005410	L1_random_238	L1	0	1
chr2L	7655457	7657457	chr2L	10765457	10767457	L1_random_239	L1	0	0
chr2L	5791614	5793614	chr2L	8901614	8903614	L1_random_240	L1	0	0
chr2L	3077871	3079871	chr2L	6187871	6189871	L1_random_241	L1	0	0
chr2L	772149	774149	chr2L	3882149	3884149	L1_random_242	L1	0	1
chr2L	4045890	4047890	chr2L	7155890	7157890	L1_random_243	L1	0	1
chr2L	10866560	10868560	chr2L	13976560	13978560	L1_random_244	L1	0	1
chr2L	14582581	14584581	chr2L	17692581	17694581	L1_random_245	L1	0	1
chr2L	3352672	3354672	chr2L	6462672	6464672	L1_random_246	L1	2	1
chr2L	10801646	10803646	chr2L	13911646	13913646	L1_random_247	L1	0	0
chr2L	1942377	1944377	chr2L	5052377	5054377	L1_random_248	L1	0	1
chr2L	6826500	6828500	chr2L	9936500	9938500	L1_random_249	L1	0	0
chr2L	8606081	8608081	chr2L	11716081	11718081	L1_random_250	L1	0	0
chr2L	20010277	20012277	chr2L	23120277	23122277	L1_random_251	L1	0	0
chr2L	8848687	8850687	chr2L	11958687	11960687	L1_random_252	L1	0	0
chr2L	1367236	1369236	chr2L	4477236	4479236	L1_random_253	L1	0	0
chr2L	10781697	10783697	chr2L	13891697	13893697	L1_random_254	L1	2	0
chr2L	12250317	12252317	chr2L	15360317	15362317	L1_random_255	L1	1	0
chr2L	12014117	12016117	chr2L	15124117	15126117	L1_random_256	L1	1	0
chr2L	17380196	17382196	chr2L	20490196	20492196	L1_random_257	L1	0	0
chr2L	2186644	2188644	chr2L	5296644	5298644	L1_random_258	L1	0	1
chr2L	18864035	18866035	chr2L	21974035	21976035	L1_random_259	L1	2	0
chr2L	19283622	19285622	chr2L	22393622	22395622	L1_random_260	L1	0	0
chr2L	17189311	17191311	chr2L	20299311	20301311	L1_random_261	L1	0	1
chr2L	13142470	13144470	chr2L	16252470	16254470	L1_random_262	L1	1	0
chr2L	12587483	12589483	chr2L	15697483	15699483	L1_random_263	L1	0	0
chr2L	7026674	7028674	chr2L	10136674	10138674	L1_random_264	L1	0	0
chr2L	7844047	7846047	chr2L	10954047	10956047	L1_random_265	L1	0	0
chr2L	11085945	11087945	chr2L	14195945	14197945	L1_random_266	L1	0	0
chr2L	4620497	4622497	chr2L	7730497	7732497	L1_random_267	L1	0	1
chr2L	13948138	13950138	chr2L	17058138	17060138	L1_random_268	L1	0	1
chr2L	17291599	17293599	chr2L	20401599	20403599	L1_random_269	L1	0	0
chr2L	15177788	15179788	chr2L	18287788	18289788	L1_random_270	L1	2	1
chr2L	9718360	9720360	chr2L	12828360	12830360	L1_random_271	L1	0	0
chr2L	15047783	15049783	chr2L	18157783	18159783	L1_random_272	L1	1	2
chr2L	3261859	3263859	chr2L	6371859	6373859	L1_random_273	L1	0	1
chr2L	164024	166024	chr2L	3274024	3276024	L1_random_274	L1	0	0
chr2L	7818204	7820204	chr2L	10928204	10930204	L1_random_275	L1	0	0
chr2L	132202	134202	chr2L	3242202	3244202	L1_random_276	L1	1	0
chr2L	15833656	15835656	chr2L	18943656	18945656	L1_random_277	L1	0	0
chr2L	10137191	10139191	chr2L	13247191	13249191	L1_random_278	L1	0	0
chr2L	11021160	11023160	chr2L	14131160	14133160	L1_random_279	L1	0	1
chr2L	3484626	3486626	chr2L	6594626	6596626	L1_random_280	L1	0	0
chr2L	17586796	17588796	chr2L	20696796	20698796	L1_random_281	L1	0	1
chr2L	4548676	4550676	chr2L	7658676	7660676	L1_random_282	L1	0	0
chr2L	14299121	14301121	chr2L	17409121	17411121	L1_random_283	L1	1	2
chr2L	5127398	5129398	chr2L	8237398	8239398	L1_random_284	L1	1	0
chr2L	17625405	17627405	chr2L	20735405	20737405	L1_random_285	L1	0	0
chr2L	302653	304653	chr2L	3412653	3414653	L1_random_286	L1	0	2
chr2L	13532799	13534799	chr2L	16642799	16644799	L1_random_287	L1	0	0
chr2L	19790269	19792269	chr2L	22900269	22902269	L1_random_288	L1	0	0
chr2L	2940345	2942345	chr2L	6050345	6052345	L1_random_289	L1	0	0
chr2L	875794	877794	chr2L	3985794	3987794	L1_random_290	L1	0	0
chr2L	15347519	15349519	chr2L	18457519	18459519	L1_random_291	L1	1	0
chr2L	9544325	9546325	chr2L	12654325	12656325	L1_random_292	L1	0	1
chr2L	15579587	15581587	chr2L	18689587	18691587	L1_random_293	L1	0	0
chr2L	6749468	6751468	chr2L	9859468	9861468	L1_random_294	L1	0	0
chr2L	19843838	19845838	chr2L	22953838	22955838	L1_random_295	L1	0	0
chr2L	16788143	16790143	chr2L	19898143	19900143	L1_random_296	L1	1	0
chr2L	7429620	7431620	chr2L	10539620	10541620	L1_random_297	L1	0	0
chr2L	2231525	2233525	chr2L	5341525	5343525	L1_random_298	L1	0	1
chr2L	5934835	5936835	chr2L	9044835	9046835	L1_random_299	L1	0	0
chr2L	15504419	15506419	chr2L	18614419	18616419	L1_random_300	L1	0	1
chr2L	11150508	11152508	chr2L	14260508	14262508	L1_random_301	L1	0	0
chr2L	6935760	6937760	chr2L	10045760	10047760	L1_random_302	L1	0	0
chr2L	3025257	3027257	chr2L	6135257	6137257	L1_random_303	L1	0	0
chr2L	2428617	2430617	chr2L	5538617	5540617	L1_random_304	L1	0	1
chr2L	1687705	1689705	chr2L	4797705	4799705	L1_random_305	L1	0	1
chr2L	2751239	2753239	chr2L	5861239	5863239	L1_random_306	L1	3	0
chr2L	2786262	2788262	chr2L	5896262	5898262	L1_random_307	L1	0	1
chr2L	9947183	9949183	chr2L	13057183	13059183	L1_random_308	L1	0	1
chr2L	14358619	14360619	chr2L	17468619	17470619	L1_random_309	L1	0	0
chr2L	945316	947316	chr2L	4055316	4057316	L1_random_310	L1	0	0
chr2L	14651177	14653177	chr2L	17761177	17763177	L1_random_311	L1	0	0
chr2L	5776397	5778397	chr2L	8886397	8888397	L1_random_312	L1	0	0
chr2L	6186572	6188572	chr2L	9296572	9298572	L1_random_313	L1	0	1
chr2L	15082851	15084851	chr2L	18192851	18194851	L1_random_314	L1	0	0
chr2L	10416416	10418416	chr2L	13526416	13528416	L1_random_315	L1	0	0
chr2L	11134665	11136665	chr2L	14244665	14246665	L1_random_316	L1	0	1
chr2L	2076209	2078209	chr2L	5186209	5188209	L1_random_317	L1	0	0
chr2L	14694152	14696152	chr2L	17804152	17806152	L1_random_318	L1	0	0
chr2L	20241404	20243404	chr2L	23351404	23353404	L1_random_319	L1	0	0
chr2L	1287070	1289070	chr2L	4397070	4399070	L1_random_320	L1	1	0
chr2L	8207846	8209846	chr2L	11317846	11319846	L1_random_321	L1	0	0
chr2L	5310283	5312283	chr2L	8420283	8422283	L1_random_322	L1	0	0
chr2L	14864577	14866577	chr2L	17974577	17976577	L1_random_323	L1	1	0
chr2L	9368778	9370778	chr2L	12478778	12480778	L1_random_324	L1	0	0
chr2L	6282501	6284501	chr2L	9392501	9394501	L1_random_325	L1	0	0
chr2L	17908266	17910266	chr2L	21018266	21020266	L1_random_326	L1	0	0
chr2L	13656449	13658449	chr2L	16766449	16768449	L1_random_327	L1	0	0
chr2L	10772207	10774207	chr2L	13882207	13884207	L1_random_328	L1	0	1
chr2L	15523427	15525427	chr2L	18633427	18635427	L1_random_329	L1	0	0
chr2L	7238608	7240608	chr2L	10348608	10350608	L1_random_330	L1	0	0
chr2L	10043246	10045246	chr2L	13153246	13155246	L1_random_331	L1	0	0
chr2L	6428685	6430685	chr2L	9538685	9540685	L1_random_332	L1	0	0
chr2L	4289493	4291493	chr2L	7399493	7401493	L1_random_333	L1	1	0
chr2L	18497454	18499454	chr2L	21607454	21609454	L1_random_334	L1	0	2
chr2L	17736752	17738752	chr2L	20846752	20848752	L1_random_335	L1	0	0
chr2L	13201780	13203780	chr2L	16311780	16313780	L1_random_336	L1	0	0
chr2L	16537077	16539077	chr2L	19647077	19649077	L1_random_337	L1	0	0
chr2L	7132358	7134358	chr2L	10242358	10244358	L1_random_338	L1	0	0
chr2L	2855258	2857258	chr2L	5965258	5967258	L1_random_339	L1	0	0
chr2L	5735017	5737017	chr2L	8845017	8847017	L1_random_340	L1	2	2
chr2L	3439683	3441683	chr2L	6549683	6551683	L1_random_341	L1	0	0
chr2L	17992948	17994948	chr2L	21102948	21104948	L1_random_342	L1	0	0
chr2L	3277923	3279923	chr2L	6387923	6389923	L1_random_343	L1	1	0
chr2L	11464523	11466523	chr2L	14574523	14576523	L1_random_344	L1	0	0
chr2L	1464169	1466169	chr2L	4574169	4576169	L1_random_345	L1	0	0
chr2L	6778461	6780461	chr2L	9888461	9890461	L1_random_346	L1	3	2
chr2L	11151032	11153032	chr2L	14261032	14263032	L1_random_347	L1	0	0
chr2L	13368148	13370148	chr2L	16478148	16480148	L1_random_348	L1	3	2
